Dataset,Model,Acc,MAE,QWK,SPT,ECE,TIME,_time
NewThyroid,Softmax,0.445 ± 0.047,0.824 ± 0.113,0.019 ± 0.057,0.066 ± 0.019,0.266 ± 0.032,286.120,286.12034845352173
NewThyroid,UnimodalNet,0.247 ± 0.040,0.919 ± 0.053,-0.104 ± 0.076,0.036 ± 0.017,0.331 ± 0.043,312.004,312.0044848918915
NewThyroid,ORD-ACL,0.562 ± 0.103,0.592 ± 0.116,0.081 ± 0.041,0.115 ± 0.018,0.230 ± 0.048,325.543,325.54334139823914
NewThyroid,VS-SL,0.620 ± 0.028,0.526 ± 0.037,0.093 ± 0.098,0.156 ± 0.041,0.166 ± 0.017,333.023,333.0233373641968
BalanceScale,Softmax,0.882 ± 0.010,0.157 ± 0.018,0.878 ± 0.018,0.001 ± 0.001,0.098 ± 0.007,667.118,667.1177854537964
BalanceScale,UnimodalNet,0.890 ± 0.016,0.139 ± 0.022,0.896 ± 0.020,0.001 ± 0.001,0.122 ± 0.012,689.790,689.7901048660278
BalanceScale,ORD-ACL,0.873 ± 0.016,0.172 ± 0.025,0.863 ± 0.023,0.018 ± 0.012,0.138 ± 0.006,706.534,706.5344851016998
BalanceScale,VS-SL,0.755 ± 0.057,0.364 ± 0.093,0.673 ± 0.096,0.164 ± 0.059,0.094 ± 0.029,698.307,698.3069729804993
Car,Softmax,0.875 ± 0.008,0.161 ± 0.011,0.701 ± 0.029,0.028 ± 0.012,0.065 ± 0.004,1614.811,1614.8109395503998
Car,UnimodalNet,0.885 ± 0.010,0.146 ± 0.012,0.741 ± 0.028,0.012 ± 0.012,0.065 ± 0.004,1641.138,1641.138269662857
Car,ORD-ACL,0.902 ± 0.014,0.120 ± 0.014,0.819 ± 0.016,0.560 ± 0.033,0.080 ± 0.005,1693.038,1693.0375242233276
Car,VS-SL,0.789 ± 0.055,0.280 ± 0.079,0.454 ± 0.188,0.470 ± 0.122,0.060 ± 0.016,1669.205,1669.2045884132385
Abalone5,Softmax,0.640 ± 0.002,0.519 ± 0.006,0.740 ± 0.004,0.041 ± 0.006,0.028 ± 0.002,4005.057,4005.05676817894
Abalone5,UnimodalNet,0.638 ± 0.004,0.503 ± 0.007,0.752 ± 0.006,0.007 ± 0.001,0.028 ± 0.002,4069.725,4069.7251703739166
Abalone5,ORD-ACL,0.640 ± 0.004,0.508 ± 0.007,0.746 ± 0.005,0.006 ± 0.001,0.034 ± 0.004,4228.162,4228.161559104919
Abalone5,VS-SL,0.592 ± 0.023,0.616 ± 0.087,0.617 ± 0.117,0.005 ± 0.002,0.045 ± 0.008,4139.722,4139.722244977951
Abalone10,Softmax,0.335 ± 0.002,1.145 ± 0.007,0.736 ± 0.003,0.024 ± 0.005,0.041 ± 0.001,4022.258,4022.2582354545593
Abalone10,UnimodalNet,0.336 ± 0.003,1.060 ± 0.005,0.768 ± 0.002,0.003 ± 0.002,0.055 ± 0.002,4085.931,4085.931381225586
Abalone10,ORD-ACL,0.337 ± 0.005,1.109 ± 0.013,0.754 ± 0.004,0.017 ± 0.001,0.046 ± 0.002,4398.069,4398.068701028824
Abalone10,VS-SL,0.314 ± 0.010,1.125 ± 0.028,0.747 ± 0.015,0.005 ± 0.001,0.058 ± 0.002,4198.047,4198.046842813492
FGNET,Softmax,0.864 ± 0.005,0.184 ± 0.012,0.899 ± 0.013,0.092 ± 0.019,0.060 ± 0.005,2051.653,2051.652884244919
FGNET,UnimodalNet,0.860 ± 0.009,0.177 ± 0.014,0.917 ± 0.009,0.115 ± 0.026,0.050 ± 0.005,2097.360,2097.3601763248444
FGNET,ORD-ACL,0.850 ± 0.005,0.205 ± 0.014,0.897 ± 0.012,0.613 ± 0.003,0.049 ± 0.004,2209.061,2209.060807466507
FGNET,VS-SL,0.781 ± 0.009,0.294 ± 0.014,0.859 ± 0.007,0.672 ± 0.010,0.117 ± 0.005,2227.435,2227.435234069824
Herlev,Softmax,0.872 ± 0.010,0.217 ± 0.017,0.926 ± 0.007,0.128 ± 0.022,0.048 ± 0.007,1943.744,1943.7438423633575
Herlev,UnimodalNet,0.866 ± 0.009,0.204 ± 0.014,0.939 ± 0.005,0.165 ± 0.035,0.051 ± 0.007,1979.664,1979.6640083789825
Herlev,ORD-ACL,0.853 ± 0.011,0.244 ± 0.019,0.919 ± 0.006,0.312 ± 0.011,0.079 ± 0.010,2102.000,2101.9999163150787
Herlev,VS-SL,0.693 ± 0.017,0.502 ± 0.034,0.842 ± 0.012,0.321 ± 0.013,0.139 ± 0.007,2052.508,2052.507856607437
NewThyroid,CORAL,0.397 ± 0.065,1.043 ± 0.130,-0.021 ± 0.113,0.530 ± 0.002,0.365 ± 0.060,558.342,558.3420395851135
BalanceScale,CORAL,0.871 ± 0.021,0.177 ± 0.042,0.858 ± 0.044,0.500 ± 0.000,0.080 ± 0.012,1370.155,1370.1548836231232
Car,CORAL,0.695 ± 0.031,0.451 ± 0.105,0.379 ± 0.135,0.667 ± 0.000,0.137 ± 0.016,3522.320,3522.3201394081116
Abalone5,CORAL,0.596 ± 0.005,0.543 ± 0.016,0.756 ± 0.007,0.750 ± 0.000,0.108 ± 0.013,8576.635,8576.635153770447
Abalone10,CORAL,0.320 ± 0.004,1.077 ± 0.005,0.781 ± 0.001,0.875 ± 0.000,0.138 ± 0.002,8663.505,8663.504620313644
FGNET,CORAL,0.374 ± 0.002,0.935 ± 0.016,0.628 ± 0.015,0.841 ± 0.001,0.450 ± 0.003,4882.503,4882.503271818161
Herlev,CORAL,0.390 ± 0.008,1.099 ± 0.029,0.743 ± 0.010,0.833 ± 0.000,0.424 ± 0.006,4662.248,4662.248430728912
NewThyroid,CORN,0.499 ± 0.107,0.592 ± 0.085,0.147 ± 0.071,0.544 ± 0.006,0.184 ± 0.036,588.432,588.4318549633026
BalanceScale,CORN,0.862 ± 0.025,0.163 ± 0.034,0.883 ± 0.031,0.505 ± 0.004,0.106 ± 0.012,1395.162,1395.162044286728
Car,CORN,0.865 ± 0.019,0.168 ± 0.025,0.710 ± 0.057,0.724 ± 0.014,0.167 ± 0.020,3579.448,3579.447510242462
Abalone5,CORN,0.617 ± 0.002,0.483 ± 0.002,0.776 ± 0.001,0.767 ± 0.005,0.108 ± 0.002,8854.026,8854.025671958923
Abalone10,CORN,0.319 ± 0.004,1.044 ± 0.006,0.764 ± 0.003,0.888 ± 0.003,0.176 ± 0.003,9124.157,9124.156966924667
FGNET,CORN,0.862 ± 0.008,0.181 ± 0.013,0.911 ± 0.010,0.901 ± 0.010,0.513 ± 0.010,4860.484,4860.483989238739
Herlev,CORN,0.869 ± 0.010,0.213 ± 0.015,0.931 ± 0.006,0.871 ± 0.003,0.645 ± 0.010,4632.269,4632.268867492676
NewThyroid,Sparsemax,0.445 ± 0.047,0.824 ± 0.113,0.019 ± 0.057,0.635 ± 0.054,0.384 ± 0.035,290.979,290.9794673919678
NewThyroid,UnimodalNetsparse,0.271 ± 0.059,0.894 ± 0.089,-0.075 ± 0.084,0.452 ± 0.052,0.493 ± 0.047,330.619,330.6186785697937
BalanceScale,Sparsemax,0.882 ± 0.010,0.157 ± 0.018,0.878 ± 0.018,0.869 ± 0.013,0.049 ± 0.003,666.984,666.9841454029083
BalanceScale,UnimodalNetsparse,0.880 ± 0.064,0.136 ± 0.066,0.889 ± 0.078,0.659 ± 0.021,0.076 ± 0.060,713.643,713.6429393291473
Car,Sparsemax,0.875 ± 0.008,0.161 ± 0.011,0.701 ± 0.029,0.944 ± 0.003,0.084 ± 0.006,1629.542,1629.5421805381775
Car,UnimodalNetsparse,0.851 ± 0.040,0.188 ± 0.050,0.673 ± 0.085,0.868 ± 0.026,0.081 ± 0.026,1694.258,1694.25754904747
Abalone5,Sparsemax,0.640 ± 0.002,0.519 ± 0.006,0.740 ± 0.004,0.834 ± 0.002,0.208 ± 0.003,4094.651,4094.651433944702
Abalone5,UnimodalNetsparse,0.581 ± 0.049,0.566 ± 0.046,0.718 ± 0.024,0.470 ± 0.040,0.092 ± 0.056,4188.559,4188.559486865997
Abalone10,Sparsemax,0.335 ± 0.002,1.145 ± 0.007,0.736 ± 0.003,0.779 ± 0.004,0.273 ± 0.003,4089.919,4089.91921544075
Abalone10,UnimodalNetsparse,0.263 ± 0.014,1.274 ± 0.056,0.640 ± 0.034,0.599 ± 0.034,0.205 ± 0.027,4187.536,4187.536253929138
FGNET,Sparsemax,0.864 ± 0.005,0.184 ± 0.012,0.899 ± 0.013,0.975 ± 0.004,0.095 ± 0.010,2075.004,2075.00394821167
FGNET,UnimodalNetsparse,0.675 ± 0.024,0.534 ± 0.059,0.626 ± 0.044,0.942 ± 0.007,0.236 ± 0.020,2160.597,2160.5973892211914
Herlev,Sparsemax,0.872 ± 0.010,0.217 ± 0.017,0.926 ± 0.007,0.981 ± 0.003,0.095 ± 0.007,1965.437,1965.4368271827698
Herlev,UnimodalNetsparse,0.669 ± 0.011,0.562 ± 0.022,0.792 ± 0.018,0.937 ± 0.006,0.241 ± 0.015,2115.643,2115.643039703369
NewThyroid,StochasticUnimodalMLPb0a1,0.437 ± 0.045,0.838 ± 0.102,0.013 ± 0.054,0.618 ± 0.060,0.414 ± 0.041,647.297,647.2972936630249
NewThyroid,StochasticUnimodalMLPb0a0,0.438 ± 0.043,0.839 ± 0.099,0.013 ± 0.052,0.617 ± 0.057,0.413 ± 0.041,638.289,638.2888443470001
BalanceScale,StochasticUnimodalMLPb0a1,0.865 ± 0.023,0.181 ± 0.038,0.855 ± 0.039,0.721 ± 0.033,0.068 ± 0.017,1115.751,1115.7507193088531
BalanceScale,StochasticUnimodalMLPb0a0,0.865 ± 0.028,0.182 ± 0.050,0.854 ± 0.051,0.719 ± 0.031,0.068 ± 0.023,1108.904,1108.9038848876953
Car,StochasticUnimodalMLPb0a1,0.846 ± 0.043,0.211 ± 0.068,0.642 ± 0.064,0.903 ± 0.013,0.099 ± 0.035,2574.220,2574.219563961029
Car,StochasticUnimodalMLPb0a0,0.844 ± 0.041,0.212 ± 0.068,0.637 ± 0.070,0.901 ± 0.012,0.099 ± 0.037,2559.563,2559.5627710819244
Abalone5,StochasticUnimodalMLPb0a1,0.631 ± 0.003,0.546 ± 0.005,0.725 ± 0.003,0.496 ± 0.008,0.037 ± 0.006,7120.981,7120.981053113937
Abalone5,StochasticUnimodalMLPb0a0,0.631 ± 0.003,0.548 ± 0.005,0.723 ± 0.005,0.497 ± 0.010,0.038 ± 0.006,7129.699,7129.698721647263
Abalone10,StochasticUnimodalMLPb0a1,0.304 ± 0.009,1.265 ± 0.039,0.692 ± 0.023,0.509 ± 0.019,0.117 ± 0.019,13823.656,13823.656013011932
Abalone10,StochasticUnimodalMLPb0a0,0.303 ± 0.009,1.263 ± 0.047,0.688 ± 0.032,0.508 ± 0.026,0.119 ± 0.030,13867.715,13867.714698314667
FGNET,StochasticUnimodalMLPb0a1,0.854 ± 0.006,0.207 ± 0.008,0.879 ± 0.008,0.977 ± 0.002,0.109 ± 0.009,6654.442,6654.442276477814
FGNET,StochasticUnimodalMLPb0a0,0.858 ± 0.005,0.195 ± 0.004,0.891 ± 0.005,0.976 ± 0.002,0.104 ± 0.007,5371.436,5371.435868263245
Herlev,StochasticUnimodalMLPb0a1,0.866 ± 0.009,0.234 ± 0.018,0.919 ± 0.008,0.985 ± 0.001,0.107 ± 0.010,6504.649,6504.648873567581
Herlev,StochasticUnimodalMLPb0a0,0.870 ± 0.011,0.224 ± 0.023,0.923 ± 0.010,0.986 ± 0.001,0.104 ± 0.007,6446.304,6446.303510189056
NewThyroid,StochasticUnimodalMLPb0a15,0.481 ± 0.052,0.768 ± 0.076,0.050 ± 0.050,0.631 ± 0.083,0.380 ± 0.025,762.279,762.2790265083313
BalanceScale,StochasticUnimodalMLPb0a15,0.910 ± 0.010,0.105 ± 0.017,0.929 ± 0.017,0.772 ± 0.026,0.040 ± 0.006,1320.532,1320.5320127010345
Car,StochasticUnimodalMLPb0a15,0.885 ± 0.010,0.155 ± 0.011,0.703 ± 0.025,0.936 ± 0.006,0.086 ± 0.007,3056.110,3056.109738588333
Abalone5,StochasticUnimodalMLPb0a15,0.636 ± 0.004,0.529 ± 0.005,0.737 ± 0.004,0.517 ± 0.009,0.034 ± 0.003,8272.966,8272.965779781342
Abalone10,StochasticUnimodalMLPb0a15,0.319 ± 0.007,1.189 ± 0.009,0.725 ± 0.004,0.492 ± 0.009,0.084 ± 0.008,16858.475,16858.47493839264
FGNET,StochasticUnimodalMLPb0a15,0.861 ± 0.006,0.198 ± 0.010,0.885 ± 0.010,0.985 ± 0.001,0.114 ± 0.007,6004.229,6004.228891611099
Herlev,StochasticUnimodalMLPb0a15,0.865 ± 0.013,0.232 ± 0.024,0.921 ± 0.010,0.989 ± 0.001,0.114 ± 0.010,6296.157,6296.157430410385
NewThyroid,StochasticUnimodalMLPb0a110,0.540 ± 0.046,0.688 ± 0.062,0.072 ± 0.046,0.651 ± 0.106,0.333 ± 0.026,723.921,723.9212057590485
BalanceScale,StochasticUnimodalMLPb0a110,0.918 ± 0.009,0.093 ± 0.011,0.939 ± 0.009,0.804 ± 0.022,0.033 ± 0.003,1274.794,1274.793732881546
Car,StochasticUnimodalMLPb0a110,0.899 ± 0.009,0.139 ± 0.013,0.743 ± 0.027,0.946 ± 0.009,0.079 ± 0.002,2698.821,2698.820599079132
Abalone5,StochasticUnimodalMLPb0a110,0.632 ± 0.003,0.525 ± 0.004,0.744 ± 0.004,0.522 ± 0.006,0.032 ± 0.006,7571.016,7571.016353607178
