Dataset,Model,Acc,MAE,QWK,SPT,ECE,TIME,_time,Acc_rank,MAE_rank,SPT_rank,ECE_rank
Abalone10,Softmax,0.335,1.145,0.736 ± 0.003,0.024,0.041,4022.258,4022.258,3.5,6.5,5.0,1.0
Abalone10,UnimodalNet,0.336,1.06,0.768 ± 0.002,0.003,0.055,4085.931,4085.931,2.0,2.0,8.0,3.0
Abalone10,ORD-ACL,0.337,1.109,0.754 ± 0.004,0.017,0.046,4398.069,4398.069,1.0,4.0,6.0,2.0
Abalone10,VS-SL,0.314,1.125,0.747 ± 0.015,0.005,0.058,4198.047,4198.047,8.0,5.0,7.0,4.0
Abalone10,CORAL,0.32,1.077,0.781 ± 0.001,0.875,0.138,8663.505,8663.505,6.0,3.0,2.0,6.0
Abalone10,CORN,0.319,1.044,0.764 ± 0.003,0.888,0.176,9124.157,9124.157,7.0,1.0,1.0,7.0
Abalone10,Sparsemax,0.335,1.145,0.736 ± 0.003,0.779,0.273,4089.919,4089.919,3.5,6.5,3.0,8.0
Abalone10,StochasticUnimodalMLPb0a110,0.324,1.158,0.737 ± 0.009,0.499,0.081,13762.608,13762.608,5.0,8.0,4.0,5.0
Abalone5,Softmax,0.64,0.519,0.740 ± 0.004,0.041,0.028,4005.057,4005.057,2.0,4.5,5.0,1.5
Abalone5,UnimodalNet,0.638,0.503,0.752 ± 0.006,0.007,0.028,4069.725,4069.725,4.0,2.0,6.0,1.5
Abalone5,ORD-ACL,0.64,0.508,0.746 ± 0.005,0.006,0.034,4228.162,4228.162,2.0,3.0,7.0,4.0
Abalone5,VS-SL,0.592,0.616,0.617 ± 0.117,0.005,0.045,4139.722,4139.722,8.0,8.0,8.0,5.0
Abalone5,CORAL,0.596,0.543,0.756 ± 0.007,0.75,0.108,8576.635,8576.635,7.0,7.0,3.0,6.5
Abalone5,CORN,0.617,0.483,0.776 ± 0.001,0.767,0.108,8854.026,8854.026,6.0,1.0,2.0,6.5
Abalone5,Sparsemax,0.64,0.519,0.740 ± 0.004,0.834,0.208,4094.651,4094.651,2.0,4.5,1.0,8.0
Abalone5,StochasticUnimodalMLPb0a110,0.632,0.525,0.744 ± 0.004,0.522,0.032,7571.016,7571.016,5.0,6.0,4.0,3.0
BalanceScale,Softmax,0.882,0.157,0.878 ± 0.018,0.001,0.098,667.118,667.118,3.5,3.5,7.5,5.0
BalanceScale,UnimodalNet,0.89,0.139,0.896 ± 0.020,0.001,0.122,689.79,689.79,2.0,2.0,7.5,7.0
BalanceScale,ORD-ACL,0.873,0.172,0.863 ± 0.023,0.018,0.138,706.534,706.534,5.0,6.0,6.0,8.0
BalanceScale,VS-SL,0.755,0.364,0.673 ± 0.096,0.164,0.094,698.307,698.307,8.0,8.0,5.0,4.0
BalanceScale,CORAL,0.871,0.177,0.858 ± 0.044,0.5,0.08,1370.155,1370.155,6.0,7.0,4.0,3.0
BalanceScale,CORN,0.862,0.163,0.883 ± 0.031,0.505,0.106,1395.162,1395.162,7.0,5.0,3.0,6.0
BalanceScale,Sparsemax,0.882,0.157,0.878 ± 0.018,0.869,0.049,666.984,666.984,3.5,3.5,1.0,2.0
BalanceScale,StochasticUnimodalMLPb0a110,0.918,0.093,0.939 ± 0.009,0.804,0.033,1274.794,1274.794,1.0,1.0,2.0,1.0
Car,Softmax,0.875,0.161,0.701 ± 0.029,0.028,0.065,1614.811,1614.811,4.5,4.5,7.0,2.5
Car,UnimodalNet,0.885,0.146,0.741 ± 0.028,0.012,0.065,1641.138,1641.138,3.0,3.0,8.0,2.5
Car,ORD-ACL,0.902,0.12,0.819 ± 0.016,0.56,0.08,1693.038,1693.038,1.0,1.0,5.0,5.0
Car,VS-SL,0.789,0.28,0.454 ± 0.188,0.47,0.06,1669.205,1669.205,7.0,7.0,6.0,1.0
Car,CORAL,0.695,0.451,0.379 ± 0.135,0.667,0.137,3522.32,3522.32,8.0,8.0,4.0,7.0
Car,CORN,0.865,0.168,0.710 ± 0.057,0.724,0.167,3579.448,3579.448,6.0,6.0,3.0,8.0
Car,Sparsemax,0.875,0.161,0.701 ± 0.029,0.944,0.084,1629.542,1629.542,4.5,4.5,2.0,6.0
Car,StochasticUnimodalMLPb0a110,0.899,0.139,0.743 ± 0.027,0.946,0.079,2698.821,2698.821,2.0,2.0,1.0,4.0
FGNET,Softmax,0.864,0.184,0.899 ± 0.013,0.092,0.06,2051.653,2051.653,1.5,3.5,8.0,3.0
FGNET,UnimodalNet,0.86,0.177,0.917 ± 0.009,0.115,0.05,2097.36,2097.36,4.0,1.0,7.0,2.0
FGNET,ORD-ACL,0.85,0.205,0.897 ± 0.012,0.613,0.049,2209.061,2209.061,6.0,6.0,6.0,1.0
FGNET,VS-SL,0.781,0.294,0.859 ± 0.007,0.672,0.117,2227.435,2227.435,7.0,7.0,5.0,5.0
FGNET,CORAL,0.374,0.935,0.628 ± 0.015,0.841,0.45,4882.503,4882.503,8.0,8.0,4.0,7.0
FGNET,CORN,0.862,0.181,0.911 ± 0.010,0.901,0.513,4860.484,4860.484,3.0,2.0,3.0,8.0
FGNET,Sparsemax,0.864,0.184,0.899 ± 0.013,0.975,0.095,2075.004,2075.004,1.5,3.5,2.0,4.0
FGNET,StochasticUnimodalMLPb0a110,0.859,0.204,0.883 ± 0.012,0.99,0.122,5926.866,5926.866,5.0,5.0,1.0,6.0
Herlev,Softmax,0.872,0.217,0.926 ± 0.007,0.128,0.048,1943.744,1943.744,1.5,3.5,8.0,1.0
Herlev,UnimodalNet,0.866,0.204,0.939 ± 0.005,0.165,0.051,1979.664,1979.664,5.0,1.0,7.0,2.0
Herlev,ORD-ACL,0.853,0.244,0.919 ± 0.006,0.312,0.079,2102.0,2102.0,6.0,6.0,6.0,3.0
Herlev,VS-SL,0.693,0.502,0.842 ± 0.012,0.321,0.139,2052.508,2052.508,7.0,7.0,5.0,6.0
Herlev,CORAL,0.39,1.099,0.743 ± 0.010,0.833,0.424,4662.248,4662.248,8.0,8.0,4.0,7.0
Herlev,CORN,0.869,0.213,0.931 ± 0.006,0.871,0.645,4632.269,4632.269,3.0,2.0,3.0,8.0
Herlev,Sparsemax,0.872,0.217,0.926 ± 0.007,0.981,0.095,1965.437,1965.437,1.5,3.5,2.0,4.0
Herlev,StochasticUnimodalMLPb0a110,0.868,0.223,0.925 ± 0.010,0.992,0.119,6330.507,6330.507,4.0,5.0,1.0,5.0
NewThyroid,Softmax,0.445,0.824,0.019 ± 0.057,0.066,0.266,286.12,286.12,5.5,5.5,7.0,4.0
NewThyroid,UnimodalNet,0.247,0.919,-0.104 ± 0.076,0.036,0.331,312.004,312.004,8.0,7.0,8.0,5.0
NewThyroid,ORD-ACL,0.562,0.592,0.081 ± 0.041,0.115,0.23,325.543,325.543,2.0,2.5,6.0,3.0
NewThyroid,VS-SL,0.62,0.526,0.093 ± 0.098,0.156,0.166,333.023,333.023,1.0,1.0,5.0,1.0
NewThyroid,CORAL,0.397,1.043,-0.021 ± 0.113,0.53,0.365,558.342,558.342,7.0,8.0,4.0,7.0
NewThyroid,CORN,0.499,0.592,0.147 ± 0.071,0.544,0.184,588.432,588.432,4.0,2.5,3.0,2.0
NewThyroid,Sparsemax,0.445,0.824,0.019 ± 0.057,0.635,0.384,290.979,290.979,5.5,5.5,2.0,8.0
NewThyroid,StochasticUnimodalMLPb0a110,0.54,0.688,0.072 ± 0.046,0.651,0.333,723.921,723.921,3.0,4.0,1.0,6.0
